Bytes,Status,Voltage,PAI,Counter,SPO2,Heart_Rate,Time_Stamp
10,True,33,124,443,95,125,2020-05-21-16-50-43,C1
10,True,33,128,444,95,121,2020-05-21-16-50-44,C1
10,True,33,134,445,95,118,2020-05-21-16-50-45,C1
10,True,33,98,446,94,116,2020-05-21-16-50-46,C1
10,True,33,154,447,96,115,2020-05-21-16-50-47,C1
10,True,33,128,448,96,113,2020-05-21-16-50-48,C1
10,True,33,134,449,95,113,2020-05-21-16-50-49,C1
10,True,33,126,450,95,113,2020-05-21-16-50-50,C1
10,True,33,102,451,95,113,2020-05-21-16-50-51,C1
10,True,33,104,452,95,112,2020-05-21-16-50-52,C1
10,True,33,116,453,95,112,2020-05-21-16-50-53,C1
10,True,33,146,454,95,112,2020-05-21-16-50-54,C1
10,True,33,136,455,95,112,2020-05-21-16-50-55,C1
10,True,33,168,456,95,113,2020-05-21-16-50-56,C1
10,True,33,126,457,95,113,2020-05-21-16-50-57,C1
10,True,33,104,458,95,113,2020-05-21-16-50-58,C1
10,True,33,142,459,95,114,2020-05-21-16-50-59,C1
10,True,33,110,460,96,116,2020-05-21-16-51-00,C1
10,True,33,128,461,96,117,2020-05-21-16-51-01,C1
10,True,33,116,462,96,118,2020-05-21-16-51-02,C1
10,True,33,136,463,96,118,2020-05-21-16-51-03,C1
10,True,33,112,464,96,118,2020-05-21-16-51-04,C1
10,True,33,124,465,96,119,2020-05-21-16-51-05,C1
10,True,33,122,466,95,119,2020-05-21-16-51-06,C1
10,True,33,116,467,96,120,2020-05-21-16-51-07,C1
10,True,33,112,468,96,121,2020-05-21-16-51-08,C1
10,True,33,112,469,96,121,2020-05-21-16-51-09,C1
10,True,33,128,470,95,122,2020-05-21-16-51-10,C1
10,True,33,82,471,95,125,2020-05-21-16-51-11,C1
10,True,33,94,472,95,128,2020-05-21-16-51-12,C1
10,True,33,106,473,95,129,2020-05-21-16-51-13,C1
10,True,33,96,474,95,129,2020-05-21-16-51-14,C1
10,True,33,72,475,95,129,2020-05-21-16-51-15,C1
10,True,33,140,476,95,129,2020-05-21-16-51-16,C1
10,True,33,114,477,94,130,2020-05-21-16-51-17,C1
10,True,33,118,478,94,130,2020-05-21-16-51-18,C1
10,True,33,88,479,93,130,2020-05-21-16-51-19,C1
10,True,33,94,480,93,128,2020-05-21-16-51-20,C1
10,True,33,118,481,93,128,2020-05-21-16-51-21,C1
10,True,33,116,482,93,127,2020-05-21-16-51-22,C1
10,True,33,100,483,93,126,2020-05-21-16-51-23,C1
10,True,33,94,484,93,124,2020-05-21-16-51-24,C1
10,True,33,102,485,93,122,2020-05-21-16-51-25,C1
10,True,33,134,486,93,120,2020-05-21-16-51-26,C1
10,True,33,114,487,93,118,2020-05-21-16-51-27,C1
10,True,33,102,488,93,115,2020-05-21-16-51-28,C1
10,True,33,160,489,94,115,2020-05-21-16-51-29,C1
10,True,33,200,490,93,115,2020-05-21-16-51-30,C1
10,True,33,150,491,92,115,2020-05-21-16-51-31,C1
10,True,33,150,492,92,115,2020-05-21-16-51-32,C1
10,True,33,140,493,92,115,2020-05-21-16-51-33,C1
10,True,33,118,494,92,114,2020-05-21-16-51-34,C1
10,True,33,124,495,91,114,2020-05-21-16-51-35,C1
10,True,33,154,496,91,113,2020-05-21-16-51-36,C1
10,True,33,116,497,91,113,2020-05-21-16-51-37,C1
10,True,33,144,498,91,113,2020-05-21-16-51-38,C1
10,True,33,86,499,91,113,2020-05-21-16-51-39,C1
10,True,33,102,500,92,114,2020-05-21-16-51-40,C1
10,True,33,152,501,92,114,2020-05-21-16-51-41,C1
10,True,33,152,502,93,114,2020-05-21-16-51-42,C1
10,True,33,158,503,93,114,2020-05-21-16-51-43,C1
10,True,33,158,504,93,115,2020-05-21-16-51-44,C1
10,True,33,82,505,93,115,2020-05-21-16-51-45,C1
10,True,33,80,506,94,115,2020-05-21-16-51-46,C1
10,True,33,124,507,95,116,2020-05-21-16-51-47,C1
10,True,33,136,508,95,116,2020-05-21-16-51-48,C1
10,True,33,130,509,95,116,2020-05-21-16-51-49,C1
10,True,33,108,510,95,116,2020-05-21-16-51-50,C1
10,True,33,108,511,95,116,2020-05-21-16-51-51,C1
10,True,33,102,512,95,117,2020-05-21-16-51-52,C1
10,True,33,106,513,95,117,2020-05-21-16-51-53,C1
10,True,33,108,514,95,117,2020-05-21-16-51-54,C1
10,True,33,144,515,95,117,2020-05-21-16-51-55,C1
10,True,33,180,516,96,117,2020-05-21-16-51-56,C1
10,True,33,216,517,95,117,2020-05-21-16-51-57,C1
10,True,33,216,518,95,117,2020-05-21-16-51-58,C1
10,True,33,174,519,95,117,2020-05-21-16-51-59,C1
10,True,33,130,520,95,117,2020-05-21-16-52-00,C1
10,True,33,130,521,95,117,2020-05-21-16-52-01,C1
10,True,33,134,522,95,117,2020-05-21-16-52-02,C1
10,True,33,134,523,95,117,2020-05-21-16-52-03,C1
10,True,33,154,524,95,117,2020-05-21-16-52-04,C1
10,True,33,144,525,94,117,2020-05-21-16-52-05,C1
10,True,33,160,526,95,117,2020-05-21-16-52-06,C1
10,True,33,160,527,95,117,2020-05-21-16-52-07,C1
10,True,33,112,528,95,118,2020-05-21-16-52-08,C1
10,True,33,118,529,95,119,2020-05-21-16-52-09,C1
10,True,33,132,530,95,120,2020-05-21-16-52-10,C1
