Bytes,Status,Voltage,PAI,Counter,SPO2,Heart_Rate,Time_Stamp
10,True,33,80,66,98,108,2019-10-22-00-40-55
10,True,33,76,67,98,108,2019-10-22-00-40-56
10,True,33,72,68,98,106,2019-10-22-00-40-57
10,True,33,70,69,98,105,2019-10-22-00-40-58
10,True,33,64,70,98,104,2019-10-22-00-40-59
10,True,33,62,71,98,105,2019-10-22-00-41-00
10,True,33,62,72,98,106,2019-10-22-00-41-01
10,True,33,66,73,98,107,2019-10-22-00-41-02
10,True,33,66,74,98,107,2019-10-22-00-41-03
10,True,33,70,75,98,108,2019-10-22-00-41-04
10,True,33,86,76,98,108,2019-10-22-00-41-05
10,True,33,114,77,97,108,2019-10-22-00-41-06
10,True,33,144,78,97,108,2019-10-22-00-41-07
10,True,33,144,79,97,108,2019-10-22-00-41-08
10,True,33,134,80,97,108,2019-10-22-00-41-09
10,True,33,100,81,97,108,2019-10-22-00-41-10
10,True,33,100,82,97,108,2019-10-22-00-41-11
10,True,33,120,83,97,108,2019-10-22-00-41-12
10,True,33,84,84,95,108,2019-10-22-00-41-13
10,True,33,64,85,95,108,2019-10-22-00-41-14
10,True,33,48,86,95,108,2019-10-22-00-41-15
10,True,33,48,87,95,108,2019-10-22-00-41-16
10,True,33,48,88,95,108,2019-10-22-00-41-17
10,True,33,48,89,95,108,2019-10-22-00-41-18
10,True,33,48,90,95,108,2019-10-22-00-41-19
10,True,33,48,91,127,511,2019-10-22-00-41-20
10,True,33,48,92,127,511,2019-10-22-00-41-21
10,True,33,620,93,127,511,2019-10-22-00-41-22
10,True,33,620,94,127,511,2019-10-22-00-41-23
10,True,33,620,95,127,511,2019-10-22-00-41-24
10,True,33,620,96,127,511,2019-10-22-00-41-25
10,True,33,620,97,127,511,2019-10-22-00-41-26
10,True,33,620,98,127,511,2019-10-22-00-41-27
10,True,33,620,99,127,511,2019-10-22-00-41-28
10,True,33,620,100,127,511,2019-10-22-00-41-29
10,True,33,620,101,127,511,2019-10-22-00-41-30
10,True,33,620,102,127,511,2019-10-22-00-41-31
10,True,33,620,103,127,511,2019-10-22-00-41-32
10,True,33,620,104,127,511,2019-10-22-00-41-33
